Transactions Id,Sale Date,Sale Time,Customer Id,Gender,Age,Category,Quantity,Price Per Unit,Cost of Goods Sold,Total Sale
1,16-12-2022,19:10:00,50,Male,34.0,Beauty,3.0,50.0,16.0,150.0
2,24-06-2022,10:07:00,104,Female,26.0,Clothing,2.0,500.0,135.0,1000.0
3,14-06-2022,07:08:00,114,Male,50.0,Electronics,1.0,30.0,8.1,30.0
4,27-08-2023,18:12:00,3,Male,37.0,Clothing,1.0,500.0,200.0,500.0
5,05-09-2023,22:10:00,3,Male,30.0,Beauty,2.0,50.0,24.0,100.0
6,15-11-2023,22:16:00,2,Female,45.0,Beauty,1.0,30.0,15.0,30.0
7,06-07-2023,06:24:00,38,Male,46.0,Clothing,2.0,25.0,13.25,50.0
8,27-12-2022,11:19:00,148,Male,30.0,Electronics,4.0,25.0,11.0,100.0
9,02-12-2022,13:12:00,85,Male,63.0,Electronics,2.0,300.0,78.0,600.0
10,24-10-2022,22:55:00,81,Female,52.0,Clothing,4.0,50.0,62.5,200.0
11,27-02-2022,10:30:00,151,Male,23.0,Clothing,2.0,50.0,23.5,100.0
12,09-12-2022,22:09:00,114,Male,35.0,Beauty,3.0,25.0,25.25,75.0
13,08-02-2023,17:43:00,106,Male,22.0,Electronics,3.0,500.0,245.0,1500.0
14,18-05-2022,07:11:00,8,Male,64.0,Clothing,4.0,30.0,13.2,120.0
15,01-07-2022,11:50:00,75,Female,42.0,Electronics,4.0,500.0,210.0,2000.0
16,25-06-2022,10:33:00,82,Male,19.0,Clothing,3.0,500.0,180.0,1500.0
17,25-02-2023,21:08:00,3,Female,27.0,Clothing,4.0,25.0,13.0,100.0
18,06-09-2023,19:13:00,5,Female,47.0,Electronics,2.0,25.0,12.5,50.0
19,26-11-2023,19:39:00,30,Female,62.0,Clothing,2.0,25.0,28.5,50.0
20,12-12-2023,21:35:00,85,Male,22.0,Clothing,3.0,300.0,345.0,900.0
21,11-07-2022,07:33:00,59,Female,50.0,Beauty,1.0,500.0,275.0,500.0
22,25-11-2023,17:11:00,66,Male,18.0,Clothing,2.0,50.0,60.5,100.0
23,28-09-2023,07:05:00,4,Female,35.0,Clothing,4.0,30.0,14.7,120.0
24,14-12-2023,22:59:00,59,Female,49.0,Clothing,1.0,300.0,87.0,300.0
25,20-11-2022,14:32:00,61,Female,64.0,Beauty,1.0,50.0,19.0,50.0
26,14-10-2023,17:54:00,51,Female,28.0,Electronics,2.0,500.0,600.0,1000.0
27,14-12-2023,19:44:00,39,Female,38.0,Beauty,2.0,25.0,8.25,50.0
28,11-12-2023,22:34:00,3,Female,43.0,Beauty,1.0,500.0,150.0,500.0
29,08-03-2022,20:10:00,31,Female,42.0,Electronics,1.0,30.0,13.5,30.0
30,10-10-2023,20:05:00,59,Female,39.0,Beauty,3.0,300.0,285.0,900.0
31,31-12-2023,17:47:00,3,Male,44.0,Electronics,4.0,300.0,129.0,1200.0
32,16-07-2022,09:11:00,150,Male,30.0,Beauty,3.0,30.0,8.4,90.0
33,24-12-2023,07:40:00,33,Female,50.0,Electronics,2.0,50.0,21.0,100.0
34,24-09-2023,13:26:00,87,Female,51.0,Clothing,3.0,50.0,17.0,150.0
35,29-10-2022,17:30:00,122,Female,58.0,Beauty,3.0,300.0,126.0,900.0
36,22-02-2023,22:06:00,40,Male,52.0,Beauty,3.0,300.0,144.0,900.0
37,26-05-2023,22:42:00,2,Female,18.0,Beauty,3.0,25.0,8.75,75.0
38,25-02-2023,11:39:00,147,Male,38.0,Beauty,4.0,50.0,26.0,200.0
39,11-07-2023,22:44:00,5,Male,23.0,Clothing,4.0,30.0,8.7,120.0
40,07-06-2022,21:33:00,78,Male,45.0,Beauty,1.0,50.0,24.5,50.0
41,11-10-2022,10:36:00,88,Male,34.0,Clothing,2.0,25.0,13.25,50.0
42,08-12-2022,08:29:00,63,Male,22.0,Clothing,3.0,300.0,147.0,900.0
43,18-03-2023,21:42:00,118,Female,48.0,Clothing,1.0,300.0,111.0,300.0
44,03-03-2022,11:07:00,93,Female,22.0,Clothing,1.0,25.0,11.75,25.0
45,20-03-2022,18:27:00,121,Female,55.0,Electronics,1.0,30.0,10.5,30.0
46,08-11-2022,17:50:00,54,Female,20.0,Electronics,4.0,300.0,84.0,1200.0
47,22-10-2022,17:22:00,96,Female,40.0,Beauty,3.0,500.0,600.0,1500.0
48,06-10-2023,17:34:00,2,Male,54.0,Electronics,3.0,300.0,123.0,900.0
49,17-09-2022,10:33:00,37,Female,54.0,Electronics,2.0,500.0,255.0,1000.0
50,29-03-2022,18:51:00,71,Female,27.0,Beauty,3.0,25.0,10.5,75.0
51,12-10-2022,22:09:00,78,Male,27.0,Beauty,3.0,25.0,24.75,75.0
52,19-09-2022,09:42:00,55,Female,36.0,Beauty,1.0,300.0,111.0,300.0
53,06-01-2022,17:57:00,32,Male,34.0,Electronics,2.0,50.0,22.0,100.0
54,20-10-2022,10:17:00,142,Female,38.0,Electronics,3.0,500.0,200.0,1500.0
55,28-09-2023,20:32:00,57,Male,31.0,Beauty,4.0,30.0,31.8,120.0
56,27-12-2022,19:37:00,97,Female,26.0,Clothing,3.0,300.0,120.0,900.0
57,11-10-2022,20:12:00,64,Female,63.0,Beauty,1.0,30.0,10.2,30.0
58,16-09-2023,19:18:00,53,Male,18.0,Clothing,4.0,300.0,75.0,1200.0
59,14-11-2022,18:28:00,61,Male,62.0,Clothing,1.0,50.0,27.0,50.0
60,04-12-2022,18:15:00,91,Male,30.0,Beauty,3.0,50.0,60.5,150.0
61,07-07-2023,11:47:00,4,Male,21.0,Beauty,4.0,50.0,20.0,200.0
62,16-09-2023,12:54:00,50,Male,18.0,Beauty,2.0,50.0,26.5,100.0
63,03-02-2022,11:49:00,127,Male,57.0,Electronics,2.0,25.0,6.25,50.0
64,15-11-2022,06:34:00,7,Male,49.0,Clothing,4.0,25.0,8.5,100.0
65,11-12-2022,20:03:00,84,Male,51.0,Electronics,4.0,500.0,160.0,2000.0
66,18-06-2023,22:49:00,3,Female,45.0,Electronics,1.0,30.0,9.0,30.0
67,19-08-2023,20:19:00,119,Female,48.0,Beauty,4.0,300.0,129.0,1200.0
68,15-12-2022,09:06:00,146,Male,25.0,Electronics,1.0,300.0,84.0,300.0
69,14-11-2023,22:44:00,1,Female,56.0,Beauty,3.0,25.0,8.5,75.0
70,27-12-2022,10:48:00,147,Female,43.0,Clothing,1.0,300.0,84.0,300.0
